quest_value,quest_name,quest_legend,link,level_rec
87,Troll Cave Quest,What can you find among the troll outside Edron?,https://tibia.fandom.com/wiki/Troll_Cave_Quest,12
88,Time Ring Quest,The elves of Shadowthorn are quick and fierce.,https://tibia.fandom.com/wiki/Time_Ring_Quest,40
89,Time Ring Quest,The elves of Shadowthorn are quick and fierce.,https://tibia.fandom.com/wiki/Time_Ring_Quest,40
90,Time Ring Quest,The elves of Shadowthorn are quick and fierce.,https://tibia.fandom.com/wiki/Time_Ring_Quest,40
91,Dragon Tower Quest,The elves may not be the most dangerous creature in Shadowthorn.,https://tibia.fandom.com/wiki/Dragon_Tower_Quest,25
92,Dragon Tower Quest,The elves may not be the most dangerous creature in Shadowthorn.,https://tibia.fandom.com/wiki/Dragon_Tower_Quest,25
93,Longsword Quest,"A traveling family was attacked, and their items were hidden by the trolls and minotaurs. ",https://tibia.fandom.com/wiki/Longsword_Quest,30
94,Longsword Quest,"A traveling family was attacked, and their items were hidden by the trolls and minotaurs. ",https://tibia.fandom.com/wiki/Longsword_Quest,30
95,Longsword Quest,"A traveling family was attacked, and their items were hidden by the trolls and minotaurs. ",https://tibia.fandom.com/wiki/Longsword_Quest,30
96,Skull Of Ratha Quest,A member of the Explorer Society tried to find out more about the Venore Amazon Camp and lost his way. ,https://tibia.fandom.com/wiki/Skull_of_Ratha_Quest,25
97,Skull Of Ratha Quest,A member of the Explorer Society tried to find out more about the Venore Amazon Camp and lost his way. ,https://tibia.fandom.com/wiki/Skull_of_Ratha_Quest,25
98,Skull Of Ratha Quest,A member of the Explorer Society tried to find out more about the Venore Amazon Camp and lost his way. ,https://tibia.fandom.com/wiki/Skull_of_Ratha_Quest,25
99,Orc Shaman Quest,An orcish shaman is protecting his treasure in a small orcish outpost near Venore. ,https://tibia.fandom.com/wiki/Orc_Shaman_Quest,20
100,Scale Armor Quest,A cave near Thais contains a treasure for novice adventurers.,https://tibia.fandom.com/wiki/Scale_Armor_Quest,10
106,Thais Lighthouse Quest,A guy managed to imprison two cyclopes in the lighthouse basement and forced them to make weapons. ,https://tibia.fandom.com/wiki/Thais_Lighthouse_Quest,25
107,Thais Lighthouse Quest,A guy managed to imprison two cyclopes in the lighthouse basement and forced them to make weapons. ,https://tibia.fandom.com/wiki/Thais_Lighthouse_Quest,25
108,Dark Armor Quest,A warrior has been killed by a Giant Spider deep in the Edron Orc Cave.,https://tibia.fandom.com/wiki/Dark_Armor_Quest,40
109,Life Ring Quest,One of many secrets beneath the Thais Ancient Temple.,https://tibia.fandom.com/wiki/Life_Ring_Quest,35
110,Plate Armor Quest,There is a ghostship that haunts the waters between Venore to Darashia. ,https://tibia.fandom.com/wiki/Plate_Armor_Quest,40
111,Stealth Ring Quest,The minotaur pyramid north-east of Darashia guards a useful ring.,https://tibia.fandom.com/wiki/Stealth_Ring_Quest,40
112,Stealth Ring Quest,The minotaur pyramid north-east of Darashia guards a useful ring.,https://tibia.fandom.com/wiki/Stealth_Ring_Quest,40
113,Alawar’s Vault Quest,"Alawar has hidden his treasure, which is guarded by his fierce minotaurs and dangerous magical fields.",https://tibia.fandom.com/wiki/Alawar%27s_Vault_Quest,25
114,Alawar’s Vault Quest,"Alawar has hidden his treasure, which is guarded by his fierce minotaurs and dangerous magical fields.",https://tibia.fandom.com/wiki/Alawar%27s_Vault_Quest,25
115,Silver Brooch Quest,Greenclaw Swamp is home to many secrets.,https://tibia.fandom.com/wiki/Silver_Brooch_Quest,40
116,Giant Smithhammer Quest,The cyclopes are great metal smiths and use a giant smithhammer in one of their camps. ,https://tibia.fandom.com/wiki/Giant_Smithhammer_Quest,40
117,Giant Smithhammer Quest,The cyclopes are great metal smiths and use a giant smithhammer in one of their camps. ,https://tibia.fandom.com/wiki/Giant_Smithhammer_Quest,40
118,Giant Smithhammer Quest,The cyclopes are great metal smiths and use a giant smithhammer in one of their camps. ,https://tibia.fandom.com/wiki/Giant_Smithhammer_Quest,40
119,Cyclops Prisoner,An adventurer rues his decision to hunt for invaluable treasure.,https://tibia.fandom.com/wiki/Cyclops_Prisoner_(Book),
120,Isle Of Mists Quest,"Some tibian vocations have special places, where only that vocation can enter. Druids are not an exception. If you are a druid, try to find your own place and you will receive your prize. ",https://tibia.fandom.com/wiki/Isle_of_the_Mists_Quest,40
121,Iron Helmet Quest,"A friend of Muriel's tried to escape the Plains of Havoc, but did not make it out alive. ",https://tibia.fandom.com/wiki/Iron_Helmet_Quest,25
122,Fire Axe Quest,An adventurer died in the midst of many dragons. ,https://tibia.fandom.com/wiki/Fire_Axe_Quest,70
123,Fire Axe Quest,An adventurer died in the midst of many dragons. ,https://tibia.fandom.com/wiki/Fire_Axe_Quest,70
124,Ornamented Shield Quest,The last remaining warrior of the Nightmare Knights was said to have been mortally wounded by dragons to eventually die below the Plains of Havoc. ,https://tibia.fandom.com/wiki/Ornamented_Shield_Quest,70
125,Power Ring Quest,The goblins on Femor Hills hide a useful ring.,https://tibia.fandom.com/wiki/Power_Ring_Quest,15
126,Power Ring Quest,The goblins on Femor Hills hide a useful ring.,https://tibia.fandom.com/wiki/Power_Ring_Quest,15
127,Medusa Shield Quest,The chief Necromancers of the Brotherhood of Bones hold a valuable treasure here. ,https://tibia.fandom.com/wiki/Medusa_Shield_Quest,70
128,Battle Axe Quest,Someone died in the sewers while carrying an axe.,https://tibia.fandom.com/wiki/Battle_Axe_Quest,8
129,Copper Key 3303,Search in the Outlaw camp south of the village. Near an area filled with trash is a dead tree next to a large rock.,https://tibia.fandom.com/wiki/Key_3303,
130,Copper Key 3301,"Search in the Outlaw camp south-west of the village. It is guarded by Minotaurs, Minotaur Archers, Minotaur Guards, and a Minotaur Mage.",https://tibia.fandom.com/wiki/Key_3301,
131,Silver Key 3302,"Search in the Outlaw camp south-west of the village. It is guarded by Minotaurs, Minotaur Archers, Minotaur Guards, and a Minotaur Mage.",https://tibia.fandom.com/wiki/Key_3302,
132,Golden Key 3304,Search in the Outlaw camp south-west of the village for an obscured shovel hole. You will need Key 3303 to get this key. ,https://tibia.fandom.com/wiki/Key_3304,
133,Outlaw Camp Quest,"The outlaws have secured a very strong sword, and have it protected with traps and puzzles. ",https://tibia.fandom.com/wiki/The_Outlaw_Camp_Quest,50
134,Geomancer Quest,Defeat the dwarves and steal their precious jewels.,https://tibia.fandom.com/wiki/Geomancer_Quest,45
135,Circle Room Quest,A dwarven garrison guards a valuable treasure in a room deep underneath the surface. ,https://tibia.fandom.com/wiki/Circle_Room_Quest,40
136,Circle Room Quest,A dwarven garrison guards a valuable treasure in a room deep underneath the surface. ,https://tibia.fandom.com/wiki/Circle_Room_Quest,40
137,Crusader Helmet Quest,"The Dwarves have hidden a shiny helmet deep in their mines, guarded by giant spiders…",https://tibia.fandom.com/wiki/Crusader_Helmet_Quest,30
138,Voodoo Doll Quest,A magical item was lost in the Green Claw Swamp outside Venore.,https://tibia.fandom.com/wiki/Voodoo_Doll_Quest,35
139,Voodoo Doll Quest,A magical item was lost in the Green Claw Swamp outside Venore.,https://tibia.fandom.com/wiki/Voodoo_Doll_Quest,35
140,Ghoul Room Quest,One of many secrets beneath the Thais Ancient Temple.,https://tibia.fandom.com/wiki/Ghoul_Room_Quest,20
141,Ghoul Room Quest,One of many secrets beneath the Thais Ancient Temple.,https://tibia.fandom.com/wiki/Ghoul_Room_Quest,20
142,Six Rubies Quest,Some fierce dragons are guarding their treasure with fire. ,https://tibia.fandom.com/wiki/Six_Rubies_Quest,50
143,Mintwallin Cyclops Quest,One of many secrets beneath the Thais Ancient Temple.,https://tibia.fandom.com/wiki/Mintwallin_Cyclops_Quest,25
144,Throwing Star Quest,One of many secrets beneath the Thais Ancient Temple.,https://tibia.fandom.com/wiki/Throwing_Star_Quest,30
145,Devil Helmet Quest,All roads lead to Markwin…,https://tibia.fandom.com/wiki/Devil_Helmet_Quest,40
146,Devil Helmet Quest,All roads lead to Markwin…,https://tibia.fandom.com/wiki/Devil_Helmet_Quest,40
147,Devil Helmet Quest,All roads lead to Markwin…,https://tibia.fandom.com/wiki/Devil_Helmet_Quest,40
148,Mad Mage Room Quest,The Mad Mage summoned more monsters than he could handle. ,https://tibia.fandom.com/wiki/Mad_Mage_Room_Quest,50
149,Mad Mage Room Quest,The Mad Mage summoned more monsters than he could handle. ,https://tibia.fandom.com/wiki/Mad_Mage_Room_Quest,50
150,Mad Mage Room Quest,The Mad Mage summoned more monsters than he could handle. ,https://tibia.fandom.com/wiki/Mad_Mage_Room_Quest,50
151,Noble Armor Quest,Deep in a hidden cave below Mt. Sternum lies a noble treasure.,https://tibia.fandom.com/wiki/Noble_Armor_Quest,35
152,Noble Armor Quest,Deep in a hidden cave below Mt. Sternum lies a noble treasure.,https://tibia.fandom.com/wiki/Noble_Armor_Quest,35
153,Blood Herb Quest,"Wyda the witch talks about the usefulness of this herb. It grows near dead trees, perhaps you should try the dead tree not far from her house?",https://tibia.fandom.com/wiki/Blood_Herb_Quest,20
154,Black Knight Quest,The former commander of the Royal Army was abandoned by his fellow humans and now has some bones to grind with them…,https://tibia.fandom.com/wiki/Black_Knight_Quest,50
155,Naginata Quest,Deep inside a dragon-filled place a treasure is hidden... ,https://tibia.fandom.com/wiki/Naginata_Quest,50
156,Griffin Shield Quest,A group of explorers tried to get into Demona and died on their way. ,https://tibia.fandom.com/wiki/Griffin_Shield_Quest,50
157,Griffin Shield Quest,A group of explorers tried to get into Demona and died on their way. ,https://tibia.fandom.com/wiki/Griffin_Shield_Quest,50
158,Griffin Shield Quest,A group of explorers tried to get into Demona and died on their way. ,https://tibia.fandom.com/wiki/Griffin_Shield_Quest,50
159,Purple Tome Quest,"Many have tried, but few have been able to withstand the powerful magicians of Demona.",https://tibia.fandom.com/wiki/Purple_Tome_Quest,70
160,Purple Tome Quest,"Many have tried, but few have been able to withstand the powerful magicians of Demona.",https://tibia.fandom.com/wiki/Purple_Tome_Quest,70
161,Purple Tome Quest,"Many have tried, but few have been able to withstand the powerful magicians of Demona.",https://tibia.fandom.com/wiki/Purple_Tome_Quest,70
162,Ferumbras’ Lost Items Quest,"The Maze of Lost souls is not what it used to be. If you go in, will you ever return?",https://tibia.fandom.com/wiki/Crystal_Wand_Quest,250
163,Ferumbras’ Lost Items Quest,"The Maze of Lost souls is not what it used to be. If you go in, will you ever return?",https://tibia.fandom.com/wiki/Crystal_Wand_Quest,250
164,Demona Ring Quest,Sorcerers feel like using a ring so now and then. ,https://tibia.fandom.com/wiki/Demona_Ring_Quest,70
165,Demona Ring Quest,Sorcerers feel like using a ring so now and then. ,https://tibia.fandom.com/wiki/Demona_Ring_Quest,70
166,Behemoth Quest,The giants of the underground protect something valuable.,https://tibia.fandom.com/wiki/Behemoth_Quest,80
167,Behemoth Quest,The giants of the underground protect something valuable.,https://tibia.fandom.com/wiki/Behemoth_Quest,80
168,Behemoth Quest,The giants of the underground protect something valuable.,https://tibia.fandom.com/wiki/Behemoth_Quest,80
169,Behemoth Quest,The giants of the underground protect something valuable.,https://tibia.fandom.com/wiki/Behemoth_Quest,80
170,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
171,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
172,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
173,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
174,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
175,Deeper Fibula Quest,Make your way to the deepest parts of Fibula and see what you may find.,https://tibia.fandom.com/wiki/Deeper_Fibula_Quest,60
176,Vampire Shield Quest,A warlock and some heroes guard their treasure in the caves beneath Edron. ,https://tibia.fandom.com/wiki/Vampire_Shield_Quest,80
177,Vampire Shield Quest,A warlock and some heroes guard their treasure in the caves beneath Edron. ,https://tibia.fandom.com/wiki/Vampire_Shield_Quest,80
178,Vampire Shield Quest,A warlock and some heroes guard their treasure in the caves beneath Edron. ,https://tibia.fandom.com/wiki/Vampire_Shield_Quest,80
179,Double Hero Quest,Two heroes are guarding a precious treasure deep inside the Hero Cave. ,https://tibia.fandom.com/wiki/Double_Hero_Quest,70
180,Double Hero Quest,Two heroes are guarding a precious treasure deep inside the Hero Cave. ,https://tibia.fandom.com/wiki/Double_Hero_Quest,70
181,Triple Ultimate Healing Rune Quest,The Edron Hero cave holds many secrets.,https://tibia.fandom.com/wiki/Adorned_UH_Rune_Quest,40
182,Strong Potions Quest,A couple of priestesses are guarding something very valuable to them. ,https://tibia.fandom.com/wiki/Strong_Potions_Quest,60
183,Ring Quest,The Edron Hero cave holds many secrets.,https://tibia.fandom.com/wiki/Ring_Quest,60
184,Ring Quest,The Edron Hero cave holds many secrets.,https://tibia.fandom.com/wiki/Ring_Quest,60
185,Wedding Ring Quest,The Edron Hero cave holds many secrets.,https://tibia.fandom.com/wiki/Wedding_Ring_Quest,70
186,Wedding Ring Quest,The Edron Hero cave holds many secrets.,https://tibia.fandom.com/wiki/Wedding_Ring_Quest,70
187,Demon Helmet Quest,Can you withstand the wrath of demons?,https://tibia.fandom.com/wiki/Demon_Helmet_Quest,120
188,Demon Helmet Quest,Can you withstand the wrath of demons?,https://tibia.fandom.com/wiki/Demon_Helmet_Quest,120
189,Demon Helmet Quest,Can you withstand the wrath of demons?,https://tibia.fandom.com/wiki/Demon_Helmet_Quest,120
190,Desert Dungeon Quest,"An old myth, nearly buried by the sands of time has been discovered by brave adventurers who ventured themselves through the complicated Desert Dungeon, and found its secret. ",https://tibia.fandom.com/wiki/The_Desert_Dungeon_Quest,20
191,Desert Dungeon Quest,"An old myth, nearly buried by the sands of time has been discovered by brave adventurers who ventured themselves through the complicated Desert Dungeon, and found its secret. ",https://tibia.fandom.com/wiki/The_Desert_Dungeon_Quest,20
192,Silver Key 4055,Allows you to open the door to the Panpipe Quest. ,https://tibia.fandom.com/wiki/Key_4055,
193,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
194,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
195,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
196,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
197,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
198,Queen Of The Banshees Quest,Near Carlin the undead have create a magnificent puzzle.  You have to complete 7 seals to get to the final room. Are you clever enough?,https://tibia.fandom.com/wiki/The_Queen_of_the_Banshees_Quest,80
200,Orc Fortress Quest,"The Orc King hoards a treasure in his throneroom, guarded by the best warriors of the fortress. ",https://tibia.fandom.com/wiki/Orc_Fortress_Quest,50
201,Orc Fortress Quest,"The Orc King hoards a treasure in his throneroom, guarded by the best warriors of the fortress. ",https://tibia.fandom.com/wiki/Orc_Fortress_Quest,50
202,Orc Fortress Quest,"The Orc King hoards a treasure in his throneroom, guarded by the best warriors of the fortress. ",https://tibia.fandom.com/wiki/Orc_Fortress_Quest,50
203,Annihilator Quest,"Deep in the earth, near hell, the demons guard their great treasure, who only the bravest could dare to retrieve!",https://tibia.fandom.com/wiki/The_Annihilator_Quest,125
206,Panpipe Quest,The Desert Dungeon is a dangerous place… What will you find?,https://tibia.fandom.com/wiki/Panpipe_Quest,35
207,White Raven Monastery Quest,"There is an island inhabited by an order of monks, one of those monks has gone missing in the Ghostlands. ",https://tibia.fandom.com/wiki/The_White_Raven_Monastery_Quest,45
208,Silver Key 5010,This key provides access to the caves beneath the Black Knight's Villa in Green Claw Swamp. ,https://tibia.fandom.com/wiki/Key_5010,
209,The Riddle,The book tells the story of four adventurers escaping from a horde of orcs.,https://tibia.fandom.com/wiki/The_Riddle_(Book),
210,Silver Key 4009,Opens the door to the Desert Dungeon Library.,https://tibia.fandom.com/wiki/Key_4009,
213,Power Bolts Quest,A Nightmare Knight on his way back to Knightwatch Tower fell down a hole and died to a Giant Spider. ,https://tibia.fandom.com/wiki/Power_Bolts_Quest,40
214,The Dreammaster,Camdrek ponders the fate of the Nightmare Knights.,https://tibia.fandom.com/wiki/The_Dreammaster_(Book),
215,Power Bolts Quest,A Nightmare Knight on his way back to Knightwatch Tower fell down a hole and died to a Giant Spider. ,https://tibia.fandom.com/wiki/Power_Bolts_Quest,40
216,Ornamented Shield Quest,The last remaining warrior of the Nightmare Knights was said to have been mortally wounded by dragons to eventually die below the Plains of Havoc. ,https://tibia.fandom.com/wiki/Ornamented_Shield_Quest,70
221,Silver Key 3350,A  key to the upper floors of the Isle of the Kings. Found in a Bookcase in the room of Costello.,https://tibia.fandom.com/wiki/Key_3350,
225,White Raven Monastery Quest,"There is an island inhabited by an order of monks, one of those monks has gone missing in the Ghostlands. ",https://tibia.fandom.com/wiki/The_White_Raven_Monastery_Quest,45
226,Silver Key 5000,Allows you to open the door to the room in Wyda's house.,https://tibia.fandom.com/wiki/Key_5000,
232,Postman Missions Quest,"It is very hard to become a postman so Kevin has a five step course of Assistant Postman, Postman, Grand Postman, Grand Postman for Special Operations, and Arch Postman.",https://tibia.fandom.com/wiki/The_Postman_Missions_Quest,25
243,Postman Missions Quest,"It is very hard to become a postman so Kevin has a five step course of Assistant Postman, Postman, Grand Postman, Grand Postman for Special Operations, and Arch Postman.",https://tibia.fandom.com/wiki/The_Postman_Missions_Quest,25
247,Postman Missions Quest,"It is very hard to become a postman so Kevin has a five step course of Assistant Postman, Postman, Grand Postman, Grand Postman for Special Operations, and Arch Postman.",https://tibia.fandom.com/wiki/The_Postman_Missions_Quest,25
253,Triangle Tower Quest,Three users of magic plot in a tower filled with undead. ,https://tibia.fandom.com/wiki/Triangle_Tower_Quest,40
254,Spike Sword Quest,A warrior journeyed too far into the earth ,https://tibia.fandom.com/wiki/Spike_Sword_Quest,40
257,Serpentine Tower Quest,The Serpentine Tower in Ankrahmun is a mysterious place indeed.,https://tibia.fandom.com/wiki/Serpentine_Tower_Quest,8
261,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
262,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
263,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
264,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
265,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
266,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
267,Ancient Tombs Quest,"Seven advisors of the Pharaoh were entrusted with the secret to forge part of an ancient powerful mask, and they will fight for an eternity to keep it.",https://tibia.fandom.com/wiki/The_Ancient_Tombs_Quest,120
268,Morgathla Reveals The Secrets Of The Mask,Morgathla reveals the secrets of the mask. The secrets are passed on to the pharaohs.,https://tibia.fandom.com/wiki/Morgathla_Reveals_the_Secrets_of_the_Mask_(Book),
269,Ancient Tombs,A poem about the ancient tombs.,https://tibia.fandom.com/wiki/Ancient_Tombs_(Book),
290,Sam’s Old Backpack Quest,"Sam, the blacksmith of Thais, used to be an avid explorer and he lost his backpack on one of his adventures. ",https://tibia.fandom.com/wiki/Sam%27s_Old_Backpack_Quest,40
291,Bone Key 5050,Opens the door to Angelina's cell in the Dark Cathedral.,https://tibia.fandom.com/wiki/Key_5050,
292,Elephant Tusk Quest,Who knows what the poachers in Tiquanda have hidden.,https://tibia.fandom.com/wiki/Elephant_Tusk_Quest,28
294,Ape City Quest,"The renowned Merlkin Hairycles is trying to find true friends amongst the humans. To prove that you can be one of those friends, you must help the apes.",https://tibia.fandom.com/wiki/The_Ape_City_Quest,130
295,Ape City Quest,"The renowned Merlkin Hairycles is trying to find true friends amongst the humans. To prove that you can be one of those friends, you must help the apes.",https://tibia.fandom.com/wiki/The_Ape_City_Quest,130
298,Ape City Quest,"The renowned Merlkin Hairycles is trying to find true friends amongst the humans. To prove that you can be one of those friends, you must help the apes.",https://tibia.fandom.com/wiki/The_Ape_City_Quest,130
312,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
